106,Jerzy,MICHALSKI,M,2001-02-27,Person must be adult
114,Mirosław,A,M,1950-06-28,Person last name must have at least 2 characters
167,Rozalia,DĄBROWSKA,F,2002-11-18,Person must be adult
168,Michał,MRÓZ,M,2002-01-13,Person must be adult
175,Agata,KAŹMIERCZAK,F,2001-11-14,Person must be adult
205,F,NOWICKA,F,1974-02-09,Person name must have at least 2 characters
214,Julian,WOŹNIAK,M,2002-02-01,Person must be adult
217,Hanna,GÓRSKA,F,2001-10-06,Person must be adult
221,Rudolf,MICHALSKI,M,2001-01-30,Person must be adult
225,Jakub,JASIŃSKI,M,2002-10-21,Person must be adult
237,Dariusz,MAJEWSKI,M,2002-07-20,Person must be adult
252,Julia,KRÓL,F,2002-03-14,Person must be adult
322,Eugeniusz,K,M,1956-11-25,Person last name must have at least 2 characters
363,Maciej,BOROWSKI,M,2002-11-01,Person must be adult
375,Edmund,WIECZOREK,M,2001-12-01,Person must be adult
449,Q,ADAMCZYK,F,1971-01-25,Person name must have at least 2 characters
464,Ludwika,GÓRSKA,F,2001-02-23,Person must be adult
469,Adela,STĘPIEŃ,F,2002-12-02,Person must be adult
483,Ewa,MAJEWSKA,F,2000-09-20,Person must be adult
517,,JAKUBOWSKI,M,1971-04-10,Person name must have at least 2 characters
589,Halina,ANDRZEJEWSKA,F,2001-02-15,Person must be adult
599,Teodor,ADAMSKI,M,2002-12-13,Person must be adult
608,Cecylia,,F,1992-09-22,Person last name must have at least 2 characters
615,Zdzisław,STĘPIEŃ,M,2002-01-23,Person must be adult
639,Sebastian,WOŹNIAK,M,2001-12-07,Person must be adult
663,Aleksandra,ZAJĄC,F,2001-10-20,Person must be adult
675,Walenty,KALINOWSKI,M,2002-12-08,Person must be adult
679,Witold,KOWALCZYK,M,2001-06-11,Person must be adult
690,Dorota,WITKOWSKA,F,2002-03-07,Person must be adult
696,Roman,WOJCIECHOWSKI,X,1982-01-21,Person sex must be F or M
759,Sylwester,ZIÓŁKOWSKI,M,2001-03-12,Person must be adult
793,,JANKOWSKI,Q,1980-04-03,Person name must have at least 2 characters and sex must be F or M
827,Alfred,KOWALCZYK,M,2002-09-18,Person must be adult
964,Andrzej,MARCINIAK,M,2001-11-28,Person must be adult
967,Eugeniusz,MALINOWSKI,M,2001-02-17,Person must be adult
985,Anna,KWIATKOWSKA,F,2001-12-07,Person must be adult
993,Tadeusz,BORKOWSKI,M,2001-06-20,Person must be adult
999,Damian,BŁASZCZYK,M,2002-05-20,Person must be adult
1019,Hieronim,MACIEJEWSKI,M,2001-06-10,Person must be adult
1028,Zdzisław,MAKOWSKI,M,2000-12-16,Person must be adult
